Record_ID;Date;Cocoa_Roasting_Level;Sugar_Granularity;Milk_Solid_Percentage;Nuts_Inclusion_Rate;Texture_Smoothness;Sweetness_Level;Cocoa_Source_Check;Flavor_Infusion;Shelf_Life_Test;Seal_Integrity;Barcode_Scan_Success;Box_Dimensions;Label_Readability;Nutritional_Info_Accuracy;Chocolate_Glossiness;Status
WX20;04.08.2023;0,511243664;0,08;0,710213469;0,70231416;1529,288437;55365,62748;1,207867432;1,47422867;166,5856316;0,932523132;0,990274795;5,074280824;82,27838835;850,898473;0,893350711;Okay
WX21;06.08.2023;1,06835441;0,07;0,65438228;0,877004304;1733,899812;55239,2596;0,838516237;1,640500062;165,2481725;0,956485358;0,987932181;5,00233095;80,50242732;-307,0830409;0,807845205;Okay
WX22;06.08.2023;0,903952013;0,07;0,476082001;0,606070061;1896,90518;55059,74005;0,909123121;1,852775713;179,7427346;0,886995546;0,975669688;5,197879704;78,5386595;1124,234021;0,910132116;Okay
WX23;02.08.2023;0,90003277;0,06;0,293348658;0,653293071;1845,347826;55173,46924;1,1592977;1,326651966;163,9120641;0,920514141;0,96364032;5,175348488;79,47364406;708,4465734;0,850577217;Okay
WX24;04.08.2023;0,141772213;0,08;0,440970866;0,854592758;1785,948178;55172,60046;1,267763173;1,86953084;176,5355837;0,819971617;0,989363196;5,003520169;78,8469628;-87,0454027;0,913840871;Okay
WX25;05.08.2023;0,688435916;0,07;0,5880021;0,513243557;1859,664339;55934,84129;0,873548388;1,631417604;178,3278949;0,80439787;0,977309146;5,056248935;80,77385927;566,0302114;0,812294721;Okay
WX26;01.08.2023;0,752686856;0,08;0,34344639;0,355919902;1782,778152;55937,38074;0,931805263;1,279010556;159,8501725;0,761210595;0,990589588;5,060712495;78,06166631;197,3500056;0,872170927;Okay
WX27;04.08.2023;1,653646457;0,06;0,560384297;0,837107405;1523,078502;55255,80128;0,713723502;1,919792913;158,9707263;0,887535646;0,979476497;5,066905133;77,49754883;324,4238409;0,898998213;Okay
WX28;02.08.2023;2,290873963;0,07;0,553971358;0,155195287;1647,366217;55105,6418;1,00264112;1,057834568;178,2635082;0,945356234;0,988635915;5,058413964;81,92242321;1748,222088;0,906756766;Okay
WX29;06.08.2023;0,984273639;0,07;0,501732471;0,271686363;1679,391462;55281,7182;0,752897042;1,590544493;167,334367;0,899048766;0,97150946;5,184538521;78,03114322;1292,67264;0,829725421;Okay
WX30;05.08.2023;0,113477123;0,05;0,496239624;0,373011718;1729,47845;55796,44738;0,751355761;1,016867417;155,7586115;0,817726356;0,992685427;5,137825294;77,64830778;-375,5055155;0,815398207;Okay
WX31;04.08.2023;0,337874976;0,06;0,409542337;0,725689297;1596,448984;55870,76613;1,156789682;1,081676484;157,6693012;0,99616835;0,999359536;5,119215673;81,2537548;723,9528825;0,885919858;Okay
WX32;01.08.2023;0,225305684;0,06;0,569682392;0,823121157;1870,092416;55501,1017;0,906351941;1,100170349;150,6100972;0,701851843;0,982727618;5,086415689;78,521561;1314,798899;0,816024484;Okay
WX33;01.08.2023;0,166364452;0,06;0,530991333;0,46142924;1596,054278;55540,11904;1,261383852;1,894265153;159,6612955;0,79296697;0,975267607;5,13860623;80,36658079;1927,658898;0,828721048;Okay
WX34;03.08.2023;0,569434378;0,06;0,451937191;0,328902153;1776,189339;55458,7036;1,129650143;1,558702779;168,6308508;0,990454832;0,975500736;5,123912984;79,23702691;279,3056661;0,919564478;Not Okay
WX35;03.08.2023;0,325721768;0,06;0,421498707;0,382568579;1868,175122;55182,80556;0,876857344;1,260011257;159,3522143;0,815614429;0,977563139;5,035229474;79,99791097;109,8078846;0,872715109;Not Okay
WX36;07.08.2023;0,307860281;0,07;0,380657537;0,625237851;1807,781484;55049,77377;1,109129212;1,390635477;156,8554117;0,886045256;0,973187274;5,060010607;80,44436439;1141,84144;0,907333328;Okay
WX37;02.08.2023;0,070307151;0,07;0,537152097;0,226405693;1557,125305;55621,39695;1,219359902;1,838048073;151,7617868;0,771906171;0,970886273;5,193132842;78,22606417;700,5941941;0,878547802;Okay
WX38;04.08.2023;0,02228503;0,05;0,479775628;0,537944629;1899,585558;55798,72989;0,961622277;1,570114804;175,3989999;0,907003153;0,982076747;5,197355296;80,85930558;1247,492493;0,867571401;Okay
WX39;04.08.2023;0,135551351;0,07;0,481050367;0,570754638;1538,604964;55749,34729;1,037063009;1,031628561;169,4194683;0,894618229;0,983989096;5,00888216;82,33385953;2657,461087;0,873504794;Okay
WX40;07.08.2023;0,236225818;0,08;0,343881882;0,6662846;1584,028241;55900,29546;0,830493035;1,87122753;177,2581742;0,885138501;0,975132187;5,061586997;79,24456573;1384,059193;0,916453465;Okay
WX41;06.08.2023;0,704807812;0,06;0,390482508;0,583118327;1558,482099;55813,64794;0,941325221;1,538464032;150,6577328;0,812809754;0,971503214;5,197227636;80,40831971;1987,280086;0,916549266;Okay
WX42;06.08.2023;0,893015262;0,06;0,379605965;0,177564497;1780,105163;55287,57612;1,047429609;1,196194069;177,6581203;0,986899306;0,978696002;5,00333096;78,44544909;230,0593097;0,915810303;Okay
WX43;07.08.2023;0,189389255;0,07;0,576875048;0,65103911;1839,112231;55116,8137;1,069286979;1,715206842;165,7016323;0,89308283;0,975957198;5,190663764;80,35963557;3547,996429;0,828256315;Okay
WX44;06.08.2023;0,69126064;0,07;0,517169993;0,117397945;1599,966662;55430,73383;1,132020637;1,53389168;154,0582055;0,727856103;0,960461071;5,136567268;80,07930902;1883,456323;0,807531647;Okay
WX45;03.08.2023;0,522710902;0,07;0,471701593;0,412247043;1911,284366;55348,30792;1,274411914;1,189339664;157,5579338;0,920920633;0,987525206;5,125575027;80,12195666;1813,656358;0,883799806;Okay
WX46;04.08.2023;0,253293568;0,07;0,610556091;0,43365035;1558,482393;55728,58271;1,203122422;1,650088126;154,3490916;0,795865173;0,968830521;5,164757615;80,18734877;-454,4748374;0,858129182;Okay
WX47;07.08.2023;0,008580317;0,05;0,596412604;0,193304386;1632,664776;55067,9735;1,210952339;1,641404499;156,7909653;0,799044419;0,985869114;5,199616277;79,30079646;-298,1358009;0,907869839;Okay
WX48;04.08.2023;0,78658422;0,08;0,610543568;0,107885712;1705,929878;55943,01013;1,034507216;1,95472206;157,8803856;0,767743756;0,986556923;5,071925738;81,20531362;2110,114183;0,864947148;Okay
WX49;01.08.2023;1,446567286;0,06;0,475795597;0,156929473;1839,715988;55957,16817;0,786504103;1,264264312;167,4958376;0,894391694;0,965287834;5,176555101;79,55478148;379,0241608;0,848469573;Okay
WX50;03.08.2023;0,320677228;0,06;0,358563119;0,45703997;1658,147863;55088,34476;1,081295213;1,548368267;157,8405009;0,986744146;1,002644593;5,099020604;81,09937207;278,9996441;0,837914257;Okay
WX51;05.08.2023;0,176676304;0,05;0,670649908;0,292283394;1575,556467;55433,96366;0,943754984;1,321026643;164,7429747;0,945591464;0,959780442;5,145971765;79,84061827;2994,162302;0,814098506;Okay
WX52;03.08.2023;2,725932252;0,06;0,552420879;0,155184318;1695,273228;55899,14585;0,719104486;1,298180467;169,2624939;0,977230397;0,981231019;5,164783065;79,5916547;-100,9196599;0,827251424;Okay
WX53;07.08.2023;0,402022242;0,07;0,554493322;0,305124329;1700,128021;55187,28131;0,81691223;1,505641356;173,3545345;0,979224515;1,000430997;5,056985446;80,64979543;732,428692;0,857285595;Okay
WX54;05.08.2023;0,316379603;0,07;0,567586908;0,523057884;1506,806184;55692,2139;1,155444632;1,714859601;176,4880719;0,700463738;0,972021647;5,035918317;78,85277033;530,6038655;0,829002849;Okay
WX55;01.08.2023;2,431985972;0,08;0,776349855;0,693711071;1508,773125;55711,21416;1,078603113;1,604813693;154,7663661;0,887297756;0,996680829;5,001043619;80,34866754;1875,575567;0,910069224;Okay
WX56;07.08.2023;2,123568174;0,05;0,489955947;0,429601078;1616,608296;55233,59709;1,287058923;1,117335383;169,3258589;0,979026476;0,986089731;5,062419999;78,04567081;1790,837919;0,909579469;Okay
WX57;02.08.2023;0,743543867;0,08;0,643648282;0,590519168;1811,312745;55006,16634;1,254067383;1,922376869;153,391137;0,865423018;0,979844279;5,07165553;80,33027395;997,4336159;0,866385391;Okay
WX58;04.08.2023;0,839816547;0,07;0,41473855;0,577411739;1653,715925;55664,46893;1,05655564;1,708744049;157,0389842;0,904055667;0,976182065;5,079955837;78,53383338;1441,763372;0,820594507;Okay
WX59;01.08.2023;0,306974051;0,06;0,581523224;0,817051606;1588,705842;55617,25654;0,792964872;1,5793266;167,101147;0,831019895;0,989958719;5,179342755;82,01730901;1943,990093;0,838789901;Okay
WX60;04.08.2023;0,101921625;0,08;0,67834419;0,243515418;1547,449347;55649,70906;0,901807465;1,144234761;178,4199063;0,955555791;0,986480275;5,031153666;82,93572367;1986,167006;0,893926388;Okay
WX61;06.08.2023;1,064978848;0,07;0,495303785;0,481144355;1617,819336;55156,44354;0,839806416;1,134888633;168,2598073;0,748997014;0,976600972;5,156671858;80,111725;904,0094519;0,881293154;Okay
WX62;02.08.2023;0,129404036;0,06;0,308107373;0,605463785;1702,204473;55603,73426;0,982309771;1,293460274;176,2768611;0,727635681;0,972829688;5,017642451;79,680718;2695,409504;0,889872574;Okay
WX63;02.08.2023;0,74564858;0,08;0,556701263;0,51577786;1539,219378;55541,67459;1,180344062;1,923095064;170,1531481;0,811788949;0,96202344;5,053848484;80,26482533;1196,193493;0,832382847;Okay
WX64;01.08.2023;3,527164855;0,07;0,478309188;0,460273269;1506,272253;55452,55522;1,193109039;1,146973628;172,4789108;0,723665509;0,99334408;5,058398642;80,31130694;470,8071815;0,800857399;Not Okay
WX65;02.08.2023;3,817612795;0,07;0,584425874;0,878767186;1553,468958;55776,92275;0,806839431;1,654666758;156,6441037;0,742476725;0,968897503;5,052330133;78,04111187;-81,3103092;0,801678057;Okay
WX66;05.08.2023;0,341948326;0,08;0,453358897;0,853611068;1809,951402;55388,29812;1,029452606;1,644876084;164,5857584;0,747247241;0,976395283;5,195293733;77,72299954;2149,255542;0,880688156;Okay
WX67;02.08.2023;1,223084788;0,06;0,738758163;0,589164356;1695,85009;55353,26718;1,106039585;1,091946433;174,1322018;0,70148516;0,972837893;5,166926207;77,89018102;850,5084014;0,866040511;Okay
WX68;04.08.2023;0,803248832;0,07;0,510643183;0,451660567;1686,970243;55541,00557;0,937978968;1,70733602;169,8155854;0,944229866;0,970817312;5,030423396;77,64594793;1959,104491;0,84925488;Okay
WX69;04.08.2023;2,606172048;0,07;0,579107818;0,704305697;1508,296103;55944,19227;1,243261966;1,476216439;150,9342713;0,96774744;0,973665268;5,189205712;78,12387159;1459,531805;0,892381961;Okay
WX70;07.08.2023;0,395840945;0,06;0,400030953;0,510347797;1798,596682;55344,25737;0,915411448;1,500755948;170,0429916;0,7120243;0,996267335;5,073917336;79,03724414;1047,620291;0,90717067;Okay
WX71;04.08.2023;0,004636597;0,05;0,382493145;0,896455697;1584,801734;55445,33002;0,994080879;1,005490841;155,7626014;0,769909547;0,966044857;5,115209301;80,47768236;2227,135933;0,905494335;Okay
WX72;07.08.2023;0,221758875;0,07;0,370312409;0,648749836;1538,163514;55266,32291;1,052101493;1,896798067;177,9288009;0,802326289;0,982910978;5,013219081;80,70920744;1388,746656;0,889878849;Not Okay
WX73;04.08.2023;0,537561292;0,05;0,370985042;0,154528048;1853,65382;55679,61245;0,956411509;1,610370018;177,8738765;0,93947144;0,991386347;5,137537739;80,27439004;816,8814436;0,919811976;Okay
WX74;05.08.2023;0,474237174;0,07;0,56784638;0,421528524;1703,955341;55364,08519;1,278181073;1,60452799;175,3450516;0,769978248;1,00262029;5,003136554;77,36252122;2609,161911;0,801731129;Okay
WX75;07.08.2023;1,958948739;0,08;0,439698768;0,684211758;1814,551894;55692,69675;1,156279211;1,389116823;155,8591923;0,819770541;0,968297271;5,1254628;80,74401002;-714,3022822;0,828564528;Okay
WX76;03.08.2023;1,426484877;0,06;0,372997109;0,773895395;1845,191656;55145,71021;1,197450142;1,70176482;153,4241926;0,992127345;0,972801402;5,118198699;78,57277062;618,8999381;0,894984825;Okay
WX77;06.08.2023;0,445051645;0,05;0,430330888;0,7506956;1905,139129;55263,76435;1,151578155;1,83302754;176,7246189;0,948324986;0,960935392;5,125858579;80,80697177;48,87149014;0,840273652;Okay
WX78;01.08.2023;0,765020909;0,06;0,570363904;0,881790179;1761,953789;55206,30681;1,052864042;1,495006062;164,4787448;0,729899087;0,972654635;5,011698487;79,17696155;742,0920227;0,90699238;Okay
WX79;04.08.2023;0,125547901;0,07;0,567868702;0,491296396;1528,676774;55777,40267;0,716898459;1,545083176;176,317121;0,795862177;0,98446571;5,194194743;81,0195314;-347,7208712;0,883206198;Okay
WX80;02.08.2023;2,855274039;0,08;0,599690185;0,212053634;1734,229046;55089,56776;1,158846027;1,208354007;175,6716181;0,873086888;0,978319714;5,109866019;80,88046946;1560,146834;0,802769423;Okay
WX81;04.08.2023;3,424906527;0,07;0,471847212;0,621794545;1713,999508;55251,94597;1,06761652;1,353203098;175,7827857;0,904865718;0,997407594;5,140045019;79,0399628;207,0925696;0,855808286;Okay
WX82;02.08.2023;4,877809636;0,05;0,699712118;0,156599126;1524,176795;55507,39028;0,748439586;1,468160832;156,9404185;0,893392988;0,989829384;5,104096666;80,23309225;416,0041028;0,813894811;Okay
WX83;06.08.2023;2,536437829;0,07;0,608201337;0,878818643;1628,646865;55087,82499;0,771149039;1,661274767;169,7659804;0,725319681;0,97589499;5,152275031;78,70542505;841,5656736;0,906963788;Okay
WX84;06.08.2023;0,238891444;0,07;0,382584279;0,706826456;1673,11476;55011,05523;0,988715936;1,931743234;178,1659409;0,997963415;0,967391785;5,038466787;79,63167145;-254,1771588;0,823935511;Okay
WX85;06.08.2023;0,059121982;0,06;0,581213914;0,885718677;1567,609639;55691,14242;1,211703075;1,137079543;160,0567409;0,754886195;0,982506074;5,131932373;81,38306847;667,5797185;0,814614809;Okay
WX86;02.08.2023;1,083176069;0,07;0,501910847;0,401802393;1503,67989;55613,5791;1,032248928;1,529033468;169,7807912;0,75273417;0,978578907;5,126645703;79,70266921;436,3114949;0,885009568;Okay
WX87;04.08.2023;3,046646892;0,06;0,483492566;0,112637356;1817,93086;55008,4149;1,25176946;1,610962639;160,987045;0,772566866;0,988483643;5,132535254;78,65136222;-1275,428349;0,836419761;Okay
WX88;06.08.2023;0,244032622;0,07;0,500984297;0,517031758;1857,686453;55048,53561;1,189391557;1,825497736;157,9281987;0,823214588;0,979155372;5,131027027;77,35983498;565,762619;0,875967206;Okay
WX89;05.08.2023;0,008834791;0,06;0,433404236;0,196946617;1596,222694;55219,37077;1,078470178;1,843577186;174,4321877;0,796257875;0,984530596;5,00694588;78,80383811;-603,7592709;0,89009637;Not Okay
WX90;07.08.2023;2,046628484;0,06;0,600899668;0,643702157;1501,596142;55906,1789;0,888017258;1,660687902;155,6738519;0,853607455;0,980022029;5,12229142;81,16219479;2207,13051;0,872132492;Okay
WX91;02.08.2023;0,099880886;0,08;0,442176698;0,49804114;1873,773518;55652,72695;1,211640247;1,194627788;153,2552472;0,973219325;0,987414864;5,169646497;77,67338271;1750,987719;0,869499765;Okay
WX92;02.08.2023;0,667417454;0,07;0,443983589;0,702757581;1556,263192;55805,00026;1,095515976;1,779811811;158,2383619;0,712143617;0,99728468;5,114998371;79,80184953;885,1750232;0,816617278;Okay
WX93;04.08.2023;1,419954054;0,06;0,576019356;0,332855034;1669,356352;55759,47815;1,031659206;1,578549882;163,4156243;0,816079146;0,972559382;5,18562904;79,94930081;-1378,159841;0,804043613;Okay
WX94;02.08.2023;0,337789994;0,08;0,717047633;0,763332451;1653,705824;55983,02505;1,000374014;1,961333901;173,9937699;0,995751328;0,982793874;5,006437937;79,66968554;1141,40679;0,899237789;Okay
WX95;02.08.2023;0,109622557;0,07;0,450307526;0,620656436;1568,989788;55950,15712;0,827687294;1,953216341;156,9968591;0,774389336;0,965297148;5,096826353;78,90360682;-226,6265279;0,84908958;Okay
WX96;06.08.2023;1,83721034;0,06;0,375347492;0,890167778;1751,500436;55067,30624;0,709443212;1,551663341;177,2152251;0,945553971;0,989356611;5,064802145;80,17148366;747,1502454;0,827017859;Okay
WX97;04.08.2023;1,243406985;0,07;0,613984452;0,242845626;1885,787678;55022,68833;1,129904194;1,943360783;166,4953828;0,817596598;0,9750742;5,048836888;79,74899584;1698,00881;0,908298895;Okay
WX98;06.08.2023;5,580726437;0,08;0,519504233;0,140938202;1715,7638;55497,06864;1,251766354;1,025734421;171,3993616;0,973075714;0,993821354;5,065136507;83,41778704;415,1464023;0,90942905;Not Okay
WX99;07.08.2023;0,527580204;0,07;0,550235022;0,780839951;1908,623202;55271,72539;0,810197343;1,915504609;157,5342829;0,891086575;0,976688654;5,008265593;78,91392156;456,0879905;0,910729629;Okay
WX100;07.08.2023;0,079690053;0,06;0,503432811;0,370761029;1580,124139;55504,56648;1,260834192;1,964557568;175,2894128;0,967982668;0,989063586;5,017485794;80,47808833;-688,4874676;0,829755314;Okay
WX101;06.08.2023;1,656969699;0,07;0,559359475;0,444997091;1856,370989;55090,6733;0,743147096;1,979075748;150,9378916;0,890410482;0,980429774;5,141378003;78,30457401;1058,22354;0,882311656;Okay
WX102;07.08.2023;0,921983751;0,07;0,536388713;0,84053461;1607,901393;55908,86253;1,0314791;1,777997586;156,3384236;0,967083293;0,961694073;5,016290248;81,23515092;-548,9977714;0,863658189;Okay
WX103;04.08.2023;0,299732736;0,07;0,447653896;0,452557449;1605,227433;55774,0998;0,769335466;1,180660702;173,3984529;0,971231264;0,973227526;5,179364957;81,03080001;1124,69438;0,867314557;Not Okay
WX104;01.08.2023;1,902522273;0,06;0,570387765;0,338415261;1549,430412;55552,11652;1,233462675;1,974657735;151,9457334;0,78987459;0,979363822;5,136658192;79,68280886;10,2555639;0,852782897;Okay
WX105;06.08.2023;0,284811202;0,07;0,550010058;0,147596396;1862,725863;55465,07098;0,761944114;1,427955226;167,7919355;0,951642742;0,974436912;5,128866418;78,25546003;-394,0199797;0,821282253;Okay
WX106;05.08.2023;0,377499526;0,05;0,462880037;0,454348271;1804,524667;55468,49408;0,850632772;1,471232305;171,6898262;0,952012873;0,993687043;5,117030232;80,11585986;1608,677967;0,846608088;Okay
WX107;05.08.2023;0,121366473;0,07;0,482698138;0,623961221;1643,49587;55616,46789;1,183560416;1,015126013;167,1876895;0,911521555;0,998048137;5,182735277;81,01944146;1631,036625;0,808640581;Okay
WX108;02.08.2023;0,637349837;0,08;0,421411507;0,315340046;1646,75506;55545,34105;1,11309204;1,343327928;153,0414035;0,772343859;0,976482047;5,071274639;80,525052;508,9663991;0,892424648;Okay
WX109;07.08.2023;0,67860339;0,06;0,546188827;0,674223518;1854,813737;55482,23797;0,932876704;1,257145019;167,9517769;0,732355132;0,981457543;5,049127074;79,91221618;-1594,807835;0,857877319;Okay
WX110;05.08.2023;0,903379089;0,06;0,547282715;0,482611158;1889,58433;55679,25677;1,202061491;1,449814506;168,338489;0,885408462;0,964887553;5,1325175;79,0692853;99,69806557;0,81918978;Okay
WX111;02.08.2023;1,542886532;0,07;0,496125549;0,786485834;1753,018883;55764,98093;1,081419966;1,269184871;164,5561784;0,896175915;0,979257493;5,097183343;81,07463751;2839,257431;0,868029413;Okay
WX112;01.08.2023;2,956918479;0,07;0,38612728;0,229389978;1670,872529;55642,95375;0,855866488;1,447281585;160,9342318;0,991066496;0,99163097;5,180493665;79,09011708;1397,957766;0,807608563;Okay
WX113;04.08.2023;0,185239482;0,06;0,297747189;0,705663731;1522,320321;55391,38734;1,14416162;1,147565963;157,3068605;0,819447702;0,973686296;5,012683922;78,03692151;1907,388766;0,813467208;Okay
WX114;04.08.2023;0,069850933;0,07;0,476860751;0,846042061;1553,157306;55414,32397;0,899835831;1,952027029;152,301957;0,916816645;0,976938805;5,127811551;81,58483539;1770,859302;0,875893532;Okay
WX115;04.08.2023;0,02338136;0,08;0,523661527;0,693118349;1559,550885;55098,53177;1,189443062;1,664129924;151,0563809;0,963746892;0,958563416;5,169350458;78,20740373;298,8193573;0,817001295;Okay
WX116;05.08.2023;0,193803357;0,07;0,564467718;0,424749863;1616,257405;55414,54541;1,168955314;1,988453335;173,744365;0,939646047;0,97466529;5,046393032;80,9007563;-486,1587763;0,832902231;Okay
WX117;01.08.2023;1,340996063;0,07;0,613280678;0,284364614;1607,953366;55785,79229;0,885110932;1,004817683;165,765738;0,821283688;0,957015833;5,164516135;78,45971378;870,815876;0,878756026;Okay
WX118;05.08.2023;1,625040689;0,06;0,46428904;0,178693933;1728,010292;55066,47052;0,762191215;1,835812061;154,4315415;0,771839541;0,964425546;5,11449805;79,85976137;1730,080913;0,85956369;Okay
WX119;07.08.2023;1,93018151;0,08;0,341791696;0,613895758;1896,52195;55175,51936;1,192473127;1,084270936;152,8308241;0,709596657;0,999513553;5,184874944;81,92652661;660,944406;0,82126726;Okay
WX120;05.08.2023;0,349160018;0,06;0,448632338;0,214283452;1861,897629;55842,61659;0,918669305;1,773843706;152,7318757;0,92742633;0,974309193;5,090382076;80,5868947;365,0365512;0,830886869;Okay
WX121;01.08.2023;0,456414705;0,06;0,71832663;0,770643213;1713,848462;55567,94748;0,895193438;1,922471341;154,3280943;0,815435204;0,99132606;5,052434811;81,53565143;941,2715105;0,910594414;Okay
WX122;01.08.2023;0,824966093;0,06;0,664423326;0,868589874;1507,265269;55671,19896;0,710915936;1,140679252;150,8556963;0,850557691;0,975465658;5,148903555;80,71804846;76,9664006;0,885153676;Not Okay
WX123;07.08.2023;0,081584279;0,07;0,542808971;0,208631343;1528,727539;55321,55904;1,135523848;1,956145932;172,9512526;0,994686278;0,973829224;5,066654855;78,23494078;1168,285568;0,83525938;Okay
WX124;01.08.2023;1,180674768;0,08;0,456839179;0,400842361;1861,347381;55488,79919;0,864440935;1,436262138;161,004034;0,701434562;0,98691686;5,043987174;79,45821883;1116,612648;0,804413349;Okay
WX125;01.08.2023;5,148427237;0,05;0,490872089;0,849817684;1619,124611;55761,57633;0,961523369;1,34420775;158,6310975;0,782653895;0,984706413;5,142494361;79,56412098;625,8117096;0,902162284;Okay
WX126;04.08.2023;0,559434698;0,07;0,671469938;0,476563666;1633,597975;55876,04338;1,239877157;1,795765911;163,8301149;0,994329962;0,969581726;5,165235393;81,78809668;1150,586155;0,90114531;Okay
WX127;07.08.2023;1,747187029;0,07;0,520999097;0,528332845;1558,706532;55974,20652;0,77518405;1,853078729;159,322826;0,84638857;0,970881683;5,189085344;82,86346072;1542,043448;0,832169273;Okay
WX128;03.08.2023;0,866518767;0,07;0,461949468;0,698012799;1593,707634;55851,02554;0,722823447;1,836519561;170,9172865;0,981297905;0,969934385;5,059968103;80,34016883;1249,183205;0,861698868;Okay
WX129;03.08.2023;0,170937629;0,07;0,63262497;0,268426729;1603,819031;55067,48318;1,036304889;1,624022234;158,9262492;0,955420705;0,990433793;5,093803376;78,98186558;-364,1527186;0,82767089;Okay
WX130;01.08.2023;1,091052584;0,06;0,305232487;0,883319257;1673,079255;55343,35682;1,119912174;1,296199867;168,6226841;0,913495648;0,993633866;5,036785354;78,80021899;1716,776822;0,851142518;Okay
WX131;03.08.2023;0,445619179;0,06;0,399543867;0,724706825;1761,721115;55748,88961;1,016902265;1,276545389;161,2287675;0,914124202;0,988493424;5,187848077;82,06871207;274,0389787;0,809012928;Okay
WX132;03.08.2023;0,043761165;0,08;0,419504838;0,229098696;1648,325555;55417,95323;0,903746559;1,228655449;162,2752158;0,701391027;0,981091905;5,164534419;80,61573172;178,1303635;0,808169615;Okay
